activity	subject	variable	mean
walking	1	tBodyAccelerationMeanX	0.277330758736842
walking	1	tBodyAccelerationMeanY	-0.0173838185273684
walking	1	tBodyAccelerationMeanZ	-0.111148103547368
walking	1	tBodyAccelerationStdX	-0.283740258842105
walking	1	tBodyAccelerationStdY	0.114461336747368
walking	1	tBodyAccelerationStdZ	-0.260027902210526
walking	1	tGravityAccelerationMeanX	0.935223201473684
walking	1	tGravityAccelerationMeanY	-0.282165021263158
walking	1	tGravityAccelerationMeanZ	-0.068102864
walking	1	tGravityAccelerationStdX	-0.976609642526316
walking	1	tGravityAccelerationStdY	-0.971305961473684
walking	1	tGravityAccelerationStdZ	-0.947717226105263
walking	1	tBodyAccelerationJerkMeanX	0.0740416333157895
walking	1	tBodyAccelerationJerkMeanY	0.0282721095884211
walking	1	tBodyAccelerationJerkMeanZ	-0.00416840617789474
walking	1	tBodyAccelerationJerkStdX	-0.113615602435789
walking	1	tBodyAccelerationJerkStdY	0.0670025007684211
walking	1	tBodyAccelerationJerkStdZ	-0.502699788526316
walking	1	tBodyGyroscopeMeanX	-0.041830963526
walking	1	tBodyGyroscopeMeanY	-0.0695300462115789
walking	1	tBodyGyroscopeMeanZ	0.0849448173042105
walking	1	tBodyGyroscopeStdX	-0.473535485894737
walking	1	tBodyGyroscopeStdY	-0.0546077686594737
walking	1	tBodyGyroscopeStdZ	-0.344266629473684
walking	1	tBodyGyroscopeJerkMeanX	-0.0899975423705263
walking	1	tBodyGyroscopeJerkMeanY	-0.0398428709463158
walking	1	tBodyGyroscopeJerkMeanZ	-0.0461309295021053
walking	1	tBodyGyroscopeJerkStdX	-0.207421854757895
walking	1	tBodyGyroscopeJerkStdY	-0.304468510631579
walking	1	tBodyGyroscopeJerkStdZ	-0.404255452631579
walking	1	tBodyAccelerationMagnitudeMean	-0.136971176556842
walking	1	tBodyAccelerationMagnitudeStd	-0.219688645631579
walking	1	tGravityAccelerationMagnitudeMean	-0.136971176556842
walking	1	tGravityAccelerationMagnitudeStd	-0.219688645631579
walking	1	tBodyAccelerationJerkMagnitudeMean	-0.141428809031579
walking	1	tBodyAccelerationJerkMagnitudeStd	-0.0744717500625263
walking	1	tBodyGyroscopeMagnitudeMean	-0.160979552536842
walking	1	tBodyGyroscopeMagnitudeStd	-0.186978364526316
walking	1	tBodyGyroscopeJerkMagnitudeMean	-0.298703679084211
walking	1	tBodyGyroscopeJerkMagnitudeStd	-0.325324878894737
walking	1	fBodyAccelerationMeanX	-0.202794306326316
walking	1	fBodyAccelerationMeanY	0.0897127264021053
walking	1	fBodyAccelerationMeanZ	-0.331560117789474
walking	1	fBodyAccelerationStdX	-0.319134719578947
walking	1	fBodyAccelerationStdY	0.056040006846
walking	1	fBodyAccelerationStdZ	-0.279686751494737
walking	1	fBodyAccelerationMeanFrequencyX	-0.207548374494737
walking	1	fBodyAccelerationMeanFrequencyY	0.113093646103158
walking	1	fBodyAccelerationMeanFrequencyZ	0.0497265196172632
walking	1	fBodyAccelerationJerkMeanX	-0.170546964549579
walking	1	fBodyAccelerationJerkMeanY	-0.0352255241130632
walking	1	fBodyAccelerationJerkMeanZ	-0.468999224631579
walking	1	fBodyAccelerationJerkStdX	-0.133586606326316
walking	1	fBodyAccelerationJerkStdY	0.106739857136
walking	1	fBodyAccelerationJerkStdZ	-0.534713440421053
walking	1	fBodyAccelerationJerkMeanFrequencyX	-0.209261973376842
walking	1	fBodyAccelerationJerkMeanFrequencyY	-0.386237143210526
walking	1	fBodyAccelerationJerkMeanFrequencyZ	-0.185530281244211
walking	1	fBodyGyroscopeMeanX	-0.339032197115789
walking	1	fBodyGyroscopeMeanY	-0.103059416434737
walking	1	fBodyGyroscopeMeanZ	-0.255940940315789
walking	1	fBodyGyroscopeStdX	-0.516691938736842
walking	1	fBodyGyroscopeStdY	-0.0335081597884211
walking	1	fBodyGyroscopeStdZ	-0.436562227473684
walking	1	fBodyGyroscopeMeanFrequencyX	0.0147844986621053
walking	1	fBodyGyroscopeMeanFrequencyY	-0.0657746190010526
walking	1	fBodyGyroscopeMeanFrequencyZ	0.00077332156431579
walking	1	fBodyAccelerationMagnitudeMean	-0.128623450629474
walking	1	fBodyAccelerationMagnitudeStd	-0.398032586842105
walking	1	fBodyAccelerationMagnitudeMeanFrequency	0.1906437244
walking	1	fBodyBodyAccelerationJerkMagnitudeMean	-0.0571194000343158
walking	1	fBodyBodyAccelerationJerkMagnitudeStd	-0.103492403002105
walking	1	fBodyBodyAccelerationJerkMagnitudeMeanFrequency	0.0938221807027368
walking	1	fBodyBodyGyroscopeMagnitudeMean	-0.199252568986316
walking	1	fBodyBodyGyroscopeMagnitudeStd	-0.321017953894737
walking	1	fBodyBodyGyroscopeMagnitudeMeanFrequency	0.268844367525895
walking	1	fBodyBodyGyroscopeJerkMagnitudeMean	-0.319308593778947
walking	1	fBodyBodyGyroscopeJerkMagnitudeStd	-0.381601911789474
walking	1	fBodyBodyGyroscopeJerkMagnitudeMeanFrequency	0.190663448793684
walking	1	tBodyAccelerationMeanPLUSGravity	0.0604537474147368
walking	1	tBodyAccelerationJerkMeanPLUSGravityMean	-0.00793037848421052
walking	1	tBodyGyroscopeMeanPLUSGravityMean	0.0130594907157895
walking	1	tBodyGyroscopeJerkMeanPLUSGravityMean	-0.0187431910452632
walking	1	XPLUSGravityMean	-0.729247201052632
walking	1	YPLUSGravityMean	0.276953023473684
walking	1	ZPLUSGravityMean	0.0688589119894737
walking	2	tBodyAccelerationMeanX	0.276426586440678
walking	2	tBodyAccelerationMeanY	-0.0185949199145763
walking	2	tBodyAccelerationMeanZ	-0.105500357966102
walking	2	tBodyAccelerationStdX	-0.423642838474576
walking	2	tBodyAccelerationStdY	-0.0780912533118644
walking	2	tBodyAccelerationStdZ	-0.425257524915254
walking	2	tGravityAccelerationMeanX	0.91301733338983
walking	2	tGravityAccelerationMeanY	-0.34660709
walking	2	tGravityAccelerationMeanZ	0.0847270871186441
walking	2	tGravityAccelerationStdX	-0.972693201355932
walking	2	tGravityAccelerationStdY	-0.972116879661017
walking	2	tGravityAccelerationStdZ	-0.972072847627119
walking	2	tBodyAccelerationJerkMeanX	0.0618080696279661
walking	2	tBodyAccelerationJerkMeanY	0.0182492679288136
walking	2	tBodyAccelerationJerkMeanZ	0.00789533706610169
walking	2	tBodyAccelerationJerkStdX	-0.277530462620339
walking	2	tBodyAccelerationJerkStdY	-0.0166022362847458
walking	2	tBodyAccelerationJerkStdZ	-0.586090418983051
walking	2	tBodyGyroscopeMeanX	-0.0530258157347458
walking	2	tBodyGyroscopeMeanY	-0.0482382316949153
walking	2	tBodyGyroscopeMeanZ	0.0828336633220339
walking	2	tBodyGyroscopeStdX	-0.561550255762712
walking	2	tBodyGyroscopeStdY	-0.53845366779661
walking	2	tBodyGyroscopeStdZ	-0.481085535084746
